Disease,Medicine,Disease_Description,Medicine_Description
Hypertension,"Amlodipine, Lisinopril, Losartan",Hypertension (high blood pressure) is a common condition in which the long-term force of the blood against your artery walls is dangerously high.,Antihypertensives (like ACE inhibitors or beta-blockers) relax blood vessels and decrease the heart's workload to safely lower blood pressure.
Migraine,"Sumatriptan, Ibuprofen, Rizatriptan","A migraine is a severe, throbbing headache often accompanied by nausea, vomiting, and extreme sensitivity to light and sound.",Triptans and pain relievers work by blocking pain pathways in the brain and constricting blood vessels to stop the migraine attack.
Cervical spondylosis,"NSAIDs (Ibuprofen), Muscle Relaxants","Cervical spondylosis is age-related wear and tear affecting the spinal disks in your neck, often leading to chronic neck pain and stiffness.",Muscle relaxants and NSAIDs reduce severe muscle spasms in the neck and significantly decrease joint inflammation and pain.
Paralysis (brain hemorrhage),"Blood thinners, Physical Therapy",Paralysis from a brain hemorrhage involves loss of muscle function in parts of the body due to bleeding in the brain damaging motor pathways.,Initial medical focus is on stabilizing blood pressure and reducing brain swelling. Long-term management relies on neuro-rehabilitation.
Jaundice,"IV Fluids, Rest, Phototherapy (if severe)","Jaundice is a condition where the skin and the whites of the eyes turn yellow due to a high level of bilirubin, indicating liver distress.",Treatment treats the underlying cause (like infection). Medications may be given to alleviate severe itching or aid liver function.
Malaria,"Artemisinin-based combination therapy (ACT), Chloroquine",Malaria is a serious and sometimes fatal disease caused by a parasite that commonly infects a certain type of mosquito which feeds on humans.,"Antimalarial drugs aggressively target and kill the parasites residing in the liver and red blood cells, curing the infection."
Chicken pox,"Acyclovir, Calamine Lotion, Paracetamol","Chickenpox is a highly contagious viral infection causing an itchy, blister-like rash on the skin, accompanied by fever and fatigue.",Antiviral medications can reduce the severity if given early. Antihistamines and calamine lotion are used to soothe intense itching.
Dengue,"Paracetamol, IV Fluids (Avoid Aspirin/Ibuprofen)","Dengue is a mosquito-borne viral infection causing a severe flu-like illness, characterized by high fever, severe body aches, and fatigue.",There is no specific antiviral; treatment is purely supportive. Acetaminophen is used for pain; NSAIDs like ibuprofen must be avoided due to bleeding risks.
Typhoid,"Antibiotics (Ciprofloxacin, Azithromycin)","Typhoid is a bacterial infection that can lead to a high fever, diarrhea, and vomiting. It is typically transmitted through contaminated food or water.",Specific antibiotics are the only effective treatment. They quickly kill the Salmonella bacteria causing the massive systemic infection.
hepatitis A,"Rest, Hydration, No specific medication",Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. It ranges from a mild illness to a severe sickness lasting months.,There is no specific treatment; the body clears the virus on its own. Supportive care focuses on maintaining hydration and nutrition.
Hepatitis B,"Antiviral medications (Entecavir, Tenofovir)",Hepatitis B is a serious liver infection caused by the hepatitis B virus that is easily preventable by a vaccine. It can become a chronic condition.,"Chronic cases require antiviral medications to slow the virus's ability to damage the liver, combined with regular liver monitoring."
Hepatitis C,Direct-acting antivirals (DAAs) like Sofosbuvir,"Hepatitis C is a viral infection that causes liver inflammation, sometimes leading to serious liver damage. The virus spreads through contaminated blood.",Direct-acting antiviral (DAA) tablets are highly effective and can cure most cases of Hepatitis C within 8 to 12 weeks.
Hepatitis D,Pegylated interferon alpha,Hepatitis D is a severe viral liver disease that only occurs in people who are already infected with the Hepatitis B virus.,"Treatment involves specialized interferons. It is notoriously difficult to treat, making management of the underlying Hepatitis B crucial."
Hepatitis E,"Rest, Hydration, Ribavirin (if chronic)","Hepatitis E is a liver disease caused by the hepatitis E virus, mainly transmitted through drinking water contaminated with fecal matter.",It usually resolves on its own without specific medical treatment. Hospitalization is only required for pregnant women or severe cases.
Alcoholic hepatitis,"Corticosteroids, Pentoxifylline, Abstinence",Alcoholic hepatitis is inflammation of the liver caused by drinking alcohol. It typically occurs after years of heavy drinking.,"Corticosteroids may be used to rapidly reduce severe liver inflammation. However, total abstinence from alcohol is the only true treatment."
Tuberculosis (Recovery Phase),"Isoniazid, Rifampin, Pyrazinamide",Tuberculosis is a potentially serious infectious bacterial disease that mainly affects the lungs. The recovery phase requires months of medication.,A strict regimen of multiple powerful antibiotics must be taken for 6-9 months to completely eradicate the resilient TB bacteria.
Common Cold,"Decongestants, Antihistamines, Paracetamol","The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way.","Decongestants relieve nasal stuffiness, while pain relievers manage headaches and fever. There is no cure; medicines only manage symptoms."
Bronchial Pneumonia (Recovery),"Antibiotics (Amoxicillin, Azithromycin)","Bronchial pneumonia is an infection that inflames the air sacs in the lungs, which may fill with fluid or pus. Recovery takes time and patience.","After the initial course of antibiotics clears the infection, expectorants may still be used to help clear lingering mucus from the lungs."
Dimorphic hemmorhoids(piles),"Topical creams (Preparation H), Hydrocortisone","Hemorrhoids are swollen veins in your lower rectum and anus, similar to varicose veins. They can cause discomfort, itching, and bleeding.",Topical creams containing hydrocortisone reduce swelling and pain. Stool softeners are often prescribed to prevent straining during bowel movements.
Coronary Artery Disease,"Aspirin, Statins (Atorvastatin), Beta-blockers","Coronary artery disease develops when the major blood vessels that supply your heart become damaged or diseased, usually due to plaque buildup.","Statins aggressively lower cholesterol, while blood thinners prevent clots. Beta-blockers reduce the heart's workload by slowing the heart rate."
Varicose Veins,"Compression stockings, Diosmin (Daflon)","Varicose veins are twisted, enlarged veins. Any superficial vein may become varicosed, but the veins most commonly affected are those in your legs.","While surgery is an option for severe cases, compression stockings are the primary medical tool used to forcefully assist blood flow back up to the heart."
Hypothyroidism,Levothyroxine (Synthroid),"Hypothyroidism (underactive thyroid) is a condition in which your thyroid gland doesn't produce enough of certain crucial hormones, slowing metabolism.","Synthetic thyroid hormone (Levothyroxine) is taken daily to precisely restore adequate hormone levels, reversing the symptoms of a slowed metabolism."
Hyperthyroidism,"Methimazole, Propylthiouracil (PTU), Beta-blockers","Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine, dangerously accelerating your body's metabolism.",Anti-thyroid medications gradually reduce the symptoms by preventing the thyroid gland from producing excess amounts of hormones.
Hypoglycemia,"Glucose tablets, Dextrose injections","Hypoglycemia is a condition characterized by an abnormally low level of blood sugar (glucose), your body's main energy source.","Immediate treatment requires consuming fast-acting carbohydrates. For severe, emergency cases, a glucagon injection rapidly raises blood sugar."
Osteoarthritis,"Acetaminophen, NSAIDs, Duloxetine","Osteoarthritis is the most common form of arthritis, occurring when the protective cartilage that cushions the ends of your bones wears down over time.","NSAIDs and topical analgesics reduce joint pain and inflammation. In severe cases, corticosteroid injections provide temporary, powerful relief."
Rheumatoid Arthritis,"DMARDs (Methotrexate), Biologics, NSAIDs","Rheumatoid arthritis is a chronic inflammatory disorder where the body's immune system mistakenly attacks its own tissues, primarily the joints.",Disease-modifying antirheumatic drugs (DMARDs) dramatically slow the progression of the disease and save the joints and other tissues from permanent damage.
(vertigo) Paroymsal  Positional Vertigo,"Meclizine, Epley maneuver","BPPV is one of the most common causes of vertigo, a sudden sensation that you're spinning or that the inside of your head is spinning.","Medications like Meclizine suppress the vestibular system to reduce severe dizziness and nausea, though physical maneuvers are the true cure."
Acne,"Benzoyl Peroxide, Salicylic Acid, Isotretinoin","Acne is a skin condition that occurs when your hair follicles become plugged with oil and dead skin cells, leading to whiteheads, blackheads, or pimples.",Topical retinoids unclog pores and prevent dead cells from building up. Oral antibiotics reduce inflammation and kill acne-causing bacteria.
Urinary tract infection,"Antibiotics (Nitrofurantoin, Ciprofloxacin)","A UTI is an infection in any part of your urinary system (kidneys, ureters, bladder, urethra). It causes a strong, persistent urge to urinate and a burning sensation.",A targeted course of antibiotics quickly kills the specific bacteria causing the infection. Pain relievers may be given to numb the bladder.
Psoriasis,"Topical Corticosteroids, Methotrexate, Biologics","Psoriasis is a skin disease that causes a rash with itchy, scaly patches, most commonly on the knees, elbows, trunk, and scalp. It is an immune-mediated disease.",Topical corticosteroids reduce inflammation and slow massive skin cell buildup. Systemic biologic drugs target specific parts of the immune system.
Impetigo,"Topical antibiotics (Mupirocin), Oral antibiotics","Impetigo is a highly contagious skin infection that mainly affects infants and children, appearing as red sores that quickly rupture, ooze, and form a honey-colored crust.",Prescription antibiotic ointments or creams applied directly to the sores quickly clear the infection. Oral antibiotics are used for widespread cases.
