Disease,Diet_Recommendation,Workout_Recommendation
Dengue,"Papaya leaf extract, fluids, vitamin C rich foods, easily digestible diet Massive fluid intake is critical to prevent shock. Papaya leaf extract and vitamin C rich fruits are often recommended to help boost platelet counts.","Complete bed rest, avoid any physical activity Absolute bed rest is mandatory. Any physical exertion can exacerbate extreme fatigue and increase the risk of internal bleeding."
Typhoid,"High-calorie, high-protein soft diet, avoid high fiber and spicy foods A high-calorie, easily digestible liquid or semi-solid diet is required initially. Heavy, spicy, or high-fiber foods will severely irritate the inflamed intestines.","Complete rest, avoid exercise until fully recovered Prolonged bed rest is essential. The body needs weeks to fully recover its energy stores after a severe typhoid infection."
hepatitis A,"High-carb, low-fat diet, small frequent meals, plenty of fluids A diet that is extremely easy on the liver: low in fats, high in clean carbohydrates and proteins. Zero alcohol consumption is strictly enforced.","Rest is crucial, very light activities only Rest is the primary treatment. Once energy slowly returns, light stretching can begin, but strenuous exercise must be avoided for months."
Hepatitis B,"High-protein diet, lots of fruits and vegetables, avoid alcohol A strictly healthy, antioxidant-rich diet is needed to support liver cells. Absolute avoidance of alcohol and liver-taxing medications is required.","Light to moderate exercise depending on energy levels Moderate, consistent exercise helps maintain a healthy weight, which prevents fatty liver disease from complicating the Hepatitis B infection."
Hepatitis C,"Balanced diet, limit iron and sodium, absolutely no alcohol A highly nutritious, whole-foods diet supports the liver during antiviral treatment. Sugar and processed fats must be severely restricted.","Moderate exercise (walking, cycling) as tolerated Energy levels fluctuate greatly. Gentle, restorative exercises like yoga and daily walks help maintain muscle tone without causing exhaustion."
Hepatitis D,"Nutrient-dense foods, low sodium, adequate protein A highly specialized, very low-fat diet is required to minimize liver workload. Nutritional supplements may be needed if weight loss occurs.","Light physical activity, frequent rest periods Extreme fatigue is common. Only the lightest of movements (like slow walking) are recommended, prioritizing massive amounts of rest."
Hepatitis E,"Clean water, well-cooked food, light easily digestible meals Strict hygiene in food preparation is critical. The diet should be bland, hydrating, and entirely free of fats and heavy spices.","Bed rest, avoid strenuous activities Bed rest is necessary during the acute phase. The body will dictate when light activities can be safely resumed."
Alcoholic hepatitis,"High-calorie, high-protein diet, vitamin supplements, zero alcohol Aggressive nutritional therapy is often needed, as malnutrition is common. A high-protein, high-calorie, nutrient-dense diet helps the liver regenerate.","Light walking, avoid strenuous exercises Physical therapy may be required to rebuild wasted muscles. Once stable, moderate cardiovascular exercise supports overall metabolic health."
Tuberculosis (Recovery Phase),"High-protein, high-calorie diet (eggs, meat, milk), vitamins A high-calorie, extremely protein-rich diet is absolutely vital to rebuild lung tissue, regain lost weight, and support a taxed immune system.","Gradual increase in light exercises, breathing exercises Breathing exercises (pulmonary rehabilitation) are crucial to restore lung capacity. Gentle walking can slowly graduate to moderate cardio as lungs heal."
Common Cold,"Warm fluids (soups, herbal teas), vitamin C, honey and ginger Warm fluids (like chicken soup and herbal teas) are excellent for soothing a sore throat and breaking up nasal congestion. Hydration is key.","Rest, very light stretching if feeling okay Rest is best. If you feel up to it, very light activities (like a slow walk) are fine, but sweating heavily while sick is not recommended."
Bronchial Pneumonia (Recovery),"Warm fluids, high protein for recovery, vitamin C Focus on antioxidant-rich foods (berries, greens) to repair cellular lung damage. Warm broths and immense hydration keep airway mucus thin and clearable.","Deep breathing exercises, short walks, avoid heavy exertion Strict pulmonary rehabilitation. Begin with deep breathing exercises to expand the lungs, slowly progressing to short, daily walks to rebuild stamina."
Dimorphic hemmorhoids(piles),"High-fiber diet (whole grains, fruits, vegetables), lots of water A drastically increased fiber intake (25-30g daily) from whole grains, legumes, and massive water consumption is mandatory to soften stools.","Walking, swimming, avoid heavy lifting or prolonged sitting Regular aerobic exercise (like brisk walking) stimulates bowel function. Avoid heavy weightlifting or squats, which heavily strain the lower body."
Coronary Artery Disease,"Heart-healthy diet (Mediterranean diet), low saturated fat, low sodium A strict Mediterranean-style diet is essential. Focus entirely on heart-healthy fats (olive oil), lean proteins, and complex carbs. Eliminate trans fats.","Regular aerobic exercise under medical supervision Cardiac rehabilitation programs under medical supervision are crucial. Daily, moderate aerobic exercise strengthens the heart muscle safely."
Varicose Veins,"High-fiber diet, foods rich in rutin and flavonoids A low-salt diet prevents water retention, which reduces swelling in the legs. Foods rich in rutin (apples, grapes) help strengthen vein walls.","Walking, swimming, cycling, leg elevation exercises Calf-muscle exercises are incredibly effective. Walking, swimming, and cycling force the calf muscles to pump blood back up the legs."
Hypothyroidism,"Iodine-rich foods, selenium (Brazil nuts), high fiber Ensure adequate intake of iodine, selenium, and zinc to support natural thyroid function. Avoid massive amounts of soy, which can interfere with hormone absorption.","Regular cardiovascular exercise to boost metabolism Consistent, daily cardio (like brisk walking) is important to combat the weight gain, fatigue, and sluggish metabolism caused by the condition."
Hyperthyroidism,"High-calorie diet, calcium and vitamin D, cruciferous vegetables A high-calorie, nutrient-dense diet is initially required to prevent severe weight loss. Limit iodine-rich foods (like seaweed) which can fuel the overactive thyroid.","Light exercises (yoga, tai chi), avoid high-intensity workouts Avoid high-intensity workouts, as the heart is already overworked and beating rapidly. Focus on calming, restorative exercises like gentle yoga."
Hypoglycemia,"Small frequent meals, complex carbohydrates with protein Strictly adhere to eating small, balanced meals every 3-4 hours. Every meal must combine complex carbohydrates with high-quality protein and healthy fats.","Keep fast-acting carbs nearby during workouts, moderate exercise Always check blood sugar before exercising. Keep a fast-acting sugar source (like juice) on hand during workouts. Avoid exercising on an empty stomach."
Osteoarthritis,"Anti-inflammatory diet (omega-3s), calcium, vitamin D, maintain healthy weight An anti-inflammatory diet can help reduce joint swelling. Weight management is the most critical dietary goal to reduce immense physical stress on knees and hips.","Low-impact exercises (swimming, cycling), stretching Low-impact, joint-friendly exercises are vital. Swimming and water aerobics build surrounding muscle strength without putting any grinding impact on the joints."
Rheumatoid Arthritis,"Anti-inflammatory foods (fatty fish, berries, nuts), Mediterranean diet A strict Mediterranean diet high in omega-3 fatty acids (found in fish oil) has been proven to clinically reduce joint stiffness and systemic inflammation.","Range-of-motion exercises, water aerobics, gentle strengthening Physical therapy helps keep joints flexible. When inflammation is low, dynamic range-of-motion exercises are crucial to prevent joints from locking up."
(vertigo) Paroymsal  Positional Vertigo,"Stay hydrated, limit caffeine and alcohol, low sodium A low-sodium diet helps regulate fluid balance in the inner ear. Limit caffeine and alcohol, which can significantly alter inner ear fluid dynamics.","Epley maneuver, balance exercises, avoid sudden head movements Avoid rapid head movements. Specific physical therapy maneuvers (like the Epley maneuver) are performed to reposition displaced crystals in the inner ear."
Acne,"Low glycemic index foods, zinc-rich foods, avoid excessive dairy and sugar A low-glycemic diet helps control insulin spikes, which in turn reduces sebum (oil) production. Dairy consumption may need to be monitored or eliminated.","Regular exercise to reduce stress, shower immediately after Exercise reduces stress (an acne trigger). However, it is absolutely crucial to shower immediately after sweating to prevent sweat and bacteria from clogging pores."
Urinary tract infection,"Cranberry juice, lots of water, vitamin C, avoid caffeine/alcohol Massive water intake is the most critical dietary change to flush bacteria out of the urinary tract. Unsweetened cranberry juice can prevent bacteria from sticking to bladder walls.","Light exercises, avoid cycling or exercises that put pressure on pelvic area Rest is advised until the antibiotics begin working. Avoid biking or exercises that put direct, prolonged pressure on the pelvic region."
Psoriasis,"Anti-inflammatory diet, omega-3 fatty acids, gluten-free (if sensitive) An aggressive anti-inflammatory, antioxidant-rich diet can reduce systemic flare-ups. Gluten-free diets help some patients who have concurrent sensitivities.","Regular moderate exercise to maintain healthy weight Exercise helps combat the increased cardiovascular risk associated with psoriasis. Wear breathable, soft fabrics to avoid irritating sensitive skin plaques during workouts."
Impetigo,"Nutrient-rich diet to boost immune system, lots of fluids A balanced, nutrient-dense diet rich in zinc and vitamin C is recommended to support rapid skin healing and boost the immune system's response.","Avoid contact sports, light individual exercises only Strict isolation is required to prevent spreading the infection. Sweating or engaging in contact sports must be entirely avoided until the sores are completely healed."
